reviewContent,rating,sentiment
bagus mantap dah sesui pesanan,5.0,Positive
bagus sesuai foto,4.0,Positive
okkkkk mantaaaaaaapppp goood,5.0,Positive
bagus sesuai,4.0,Positive
bima,1.0,Negative
baru 10 bulan layarnya dah bergaris,1.0,Negative
pesan rabu sore minggu sore sampe barang sesuai specs mantab tks lazada,5.0,Positive
mau tanya ini cicilnya pake apa ya cc bkn,1.0,Negative
apakah tv tsb suda ada anti gores,5.0,Positive
pengirim barang tidak sesuai janji katanya express 1 hari dari hari jumat barang sampai hari rabu semoga barangnya awet saja,1.0,Negative
kualitas ok,4.0,Positive
bagaimana tv led saya merek sharp 24 hitam lc 24le170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya so alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih,1.0,Negative
pengiriman super lama tapi datang juga sich,3.0,Neutral
ok barang sampai dengan baik smoga terus di pertahankan,5.0,Positive
kalau mau cicilan gmna cra nya,5.0,Positive
barang sudah sampai dan bagus thanks lazada,5.0,Positive
pengiriman cepat sipplahhh,5.0,Positive
sampe sekarang masih ok ne laptop,5.0,Positive
pengiriman cepat packaging good barang oke thnks seller thnks lazada,5.0,Positive
barang diterima dengan selamat produk sesuai dengan deskripsi barang nyape 3 hari ke pekanbaru riau terimakasih lazada dan kotakom pucang laptopnya mantap,5.0,Positive
senang belanja disini pelayanan oke barang sesuai ekspektasi order senin hari selasa malam udah nyampe di settingin sxan sama kurirnya pokoknya top deh thanks lazada,5.0,Positive
belum test barangnya,4.0,Positive
sudah cape2 transfer tapi pesanan ditolak,1.0,Negative
barang ok kualitas bagus dengan harga yg cukup miring kualitas gambar juga ok pengiriman lumayan ga nyesel pokonya beli tv ini,5.0,Positive
saya minat tapi kalau dikirim ke gresik jawa timur bisa gak klo dr info pengiriman bebas tapi takut gk sampai dan tanya apa ini sdh full hd apa blm terima kasih,5.0,Positive
pengn tivinya,4.0,Positive
mantapppp barang nya,5.0,Positive
barang mulusss mantapppppp,3.0,Neutral
laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat di judul dikatakan core i7,1.0,Negative
barang sampai dengan aman kemampuan laptop sesuai dengan yang di iklankan hanya saja laptop datang dengan dos sehingga harus di install sendiri windows nya overall it s worth the money,5.0,Positive
barang sampai 2 hari dengan selamat dan sesuai deskripsi,5.0,Positive
harga sangat murah mantep banget,5.0,Positive
murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,3.0,Neutral
